Designator,Val,Package,MidX,MidY,Rotation,Side
C1,10nF,CP_Elec_3x5.3,167.500000,-119.000000,-90.000000,top
C2,10nF,CP_Elec_3x5.3,171.000000,-124.500000,90.000000,top
C3,10nF,CP_Elec_3x5.3,163.500000,-124.500000,90.000000,top
R1,56k,R_0805_2012Metric,162.000000,-118.912500,-90.000000,top
R2,27k,R_0805_2012Metric,172.000000,-119.000000,-90.000000,top
R3,56k,R_0805_2012Metric,175.087500,-126.500000,0.000000,top
R4,27k,R_0805_2012Metric,177.000000,-122.500000,180.000000,top
R5,56k,R_0805_2012Metric,155.500000,-126.500000,180.000000,top
R6,27k,R_0805_2012Metric,155.500000,-122.500000,-90.000000,top
U1,QRE1113,OnSemi_CASE100AQ,167.000000,-112.600000,-90.000000,top
U2,QRE1113,OnSemi_CASE100AQ,184.000000,-126.500000,180.000000,top
U3,QRE1113,OnSemi_CASE100AQ,149.600000,-122.500000,0.000000,top